experiment_id,seed,spec,model,target,train_weeks,val_weeks,test_weeks,n_features,pos_train,pos_val,pos_test,scoreable,pr_auc_raw,roc_auc_raw,n_unique_raw,pr_auc_cal,roc_auc_cal,n_unique_cal,status
E3|propagation_vulnerability|C2|logreg|seed505,505,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|lgbm|seed505,505,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|logreg|seed505,505,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|M0|deterministic|seed606,606,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,17,0,3,True,0.0006152983400628084,0.6254341363118557,125.0,,,,ok
E3|propagation_vulnerability|A|lgbm|seed606,606,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,17,0,3,True,0.16856795252946516,0.9514045177961157,1358.0,,,,ok
E3|propagation_vulnerability|A|logreg|seed606,606,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,17,0,3,True,0.012596881414085714,0.9870245339112556,11994.0,,,,ok
E3|propagation_vulnerability|B|lgbm|seed606,606,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,17,0,3,True,0.0018106778649771595,0.9041704870662111,1651.0,,,,ok
E3|propagation_vulnerability|B|logreg|seed606,606,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,17,0,3,True,0.011385769716193626,0.985663082437276,11994.0,,,,ok
E3|propagation_vulnerability|C|lgbm|seed606,606,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,17,0,3,True,0.0011579359954118577,0.6480786863382513,1828.0,,,,ok
E3|propagation_vulnerability|C|logreg|seed606,606,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,17,0,3,True,0.012017815954823829,0.9863854852602039,11994.0,,,,ok
E3|propagation_vulnerability|C1|lgbm|seed606,606,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,17,0,3,True,0.011130542212007958,0.6831430079742158,2013.0,,,,ok
E3|propagation_vulnerability|C1|logreg|seed606,606,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,17,0,3,True,0.009912325701924258,0.9837459364841211,11994.0,,,,ok
E3|propagation_vulnerability|C2|lgbm|seed606,606,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,17,0,3,True,0.003675607073615492,0.956516907004529,288.0,,,,ok
E3|propagation_vulnerability|C2|logreg|seed606,606,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,17,0,3,True,0.024584387217323086,0.9935539440415659,11994.0,,,,ok
E3|propagation_vulnerability|C3|lgbm|seed606,606,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,17,0,3,True,0.0004108821199293273,0.5964268844989025,970.0,,,,ok
E3|propagation_vulnerability|C3|logreg|seed606,606,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,17,0,3,True,0.01615622032288699,0.9891917423800395,11994.0,,,,ok
E3|propagation_vulnerability|M0|deterministic|seed707,707,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed707,707,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|logreg|seed707,707,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|lgbm|seed707,707,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|logreg|seed707,707,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|lgbm|seed707,707,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|logreg|seed707,707,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|lgbm|seed707,707,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|logreg|seed707,707,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|lgbm|seed707,707,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|logreg|seed707,707,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|lgbm|seed707,707,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|logreg|seed707,707,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,15,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|M0|deterministic|seed808,808,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed808,808,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|logreg|seed808,808,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|lgbm|seed808,808,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|logreg|seed808,808,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|lgbm|seed808,808,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|logreg|seed808,808,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|lgbm|seed808,808,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|logreg|seed808,808,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|lgbm|seed808,808,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|logreg|seed808,808,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|lgbm|seed808,808,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|logreg|seed808,808,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,4,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|M0|deterministic|seed909,909,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,19,4,8,True,0.0010375062178061523,0.5887258172114743,136.0,0.0005640369543800166,0.4112741827885257,136.0,ok
