experiment_id,seed,target,spec,model,status,pos_test,pr_auc,roc_auc
E4|rt_new_stress|C3|logreg|seed909,909,rt_new_stress,C3,logreg,ok,28,0.326323588186377,0.7933780010500693
,1201,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed1201,1201,rt_new_stress,A,lgbm,ok,20,0.1882645259938838,0.7638626878130217
E4|rt_new_stress|A|logreg|seed1201,1201,rt_new_stress,A,logreg,ok,20,0.22516379877427228,0.852813021702838
E4|rt_new_stress|B|lgbm|seed1201,1201,rt_new_stress,B,lgbm,ok,20,0.18863857098773773,0.8176085141903171
E4|rt_new_stress|B|logreg|seed1201,1201,rt_new_stress,B,logreg,ok,20,0.23032225253961594,0.8584599332220366
E4|rt_new_stress|C|lgbm|seed1201,1201,rt_new_stress,C,lgbm,ok,20,0.18863857098773773,0.8176085141903171
E4|rt_new_stress|C|logreg|seed1201,1201,rt_new_stress,C,logreg,ok,20,0.19417398411871592,0.848363939899833
E4|rt_new_stress|C2|lgbm|seed1201,1201,rt_new_stress,C2,lgbm,ok,20,0.18863857098773773,0.8176085141903171
E4|rt_new_stress|C2|logreg|seed1201,1201,rt_new_stress,C2,logreg,ok,20,0.2226185490180833,0.8456719532554257
E4|rt_new_stress|C3|lgbm|seed1201,1201,rt_new_stress,C3,lgbm,ok,20,0.18863857098773773,0.8176085141903171
E4|rt_new_stress|C3|logreg|seed1201,1201,rt_new_stress,C3,logreg,ok,20,0.23021720874773613,0.84279632721202
,1302,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed1302,1302,rt_new_stress,A,lgbm,ok,16,0.21366070896142564,0.5841799482643525
E4|rt_new_stress|A|logreg|seed1302,1302,rt_new_stress,A,logreg,ok,16,0.2511060087826258,0.5608989068758344
E4|rt_new_stress|B|lgbm|seed1302,1302,rt_new_stress,B,lgbm,ok,16,0.25125364468458244,0.5549143649866489
E4|rt_new_stress|B|logreg|seed1302,1302,rt_new_stress,B,logreg,ok,16,0.25134927172443117,0.6296781124833111
E4|rt_new_stress|C|lgbm|seed1302,1302,rt_new_stress,C,lgbm,ok,16,0.25113908886823944,0.5354039761348465
E4|rt_new_stress|C|logreg|seed1302,1302,rt_new_stress,C,logreg,ok,16,0.25133383408460275,0.6289271111481975
E4|rt_new_stress|C2|lgbm|seed1302,1302,rt_new_stress,C2,lgbm,ok,16,0.25113908886823944,0.5354039761348465
E4|rt_new_stress|C2|logreg|seed1302,1302,rt_new_stress,C2,logreg,ok,16,0.2513359374525408,0.6282595544058744
E4|rt_new_stress|C3|lgbm|seed1302,1302,rt_new_stress,C3,lgbm,ok,16,0.21986804714432126,0.6039511014686247
E4|rt_new_stress|C3|logreg|seed1302,1302,rt_new_stress,C3,logreg,ok,16,0.2512821534704495,0.6221837449933244
E4|propagation_vulnerability|A|lgbm|seed1403,1403,propagation_vulnerability,A,lgbm,ok,1,8.507018290089324e-05,0.4650387532294358
E4|propagation_vulnerability|A|logreg|seed1403,1403,propagation_vulnerability,A,logreg,ok,1,0.00012038040207054291,0.30777564797066426
E4|propagation_vulnerability|B|lgbm|seed1403,1403,propagation_vulnerability,B,lgbm,ok,1,8.42034355001684e-05,0.4996249687473956
E4|propagation_vulnerability|B|logreg|seed1403,1403,propagation_vulnerability,B,logreg,ok,1,0.00011485012059262662,0.2744395366280523
E4|propagation_vulnerability|C|lgbm|seed1403,1403,propagation_vulnerability,C,lgbm,ok,1,8.42034355001684e-05,0.4996249687473956
E4|propagation_vulnerability|C|logreg|seed1403,1403,propagation_vulnerability,C,logreg,ok,1,0.00011527377521613833,0.2771064255354613
E4|propagation_vulnerability|C2|lgbm|seed1403,1403,propagation_vulnerability,C2,lgbm,ok,1,8.42034355001684e-05,0.4996249687473956
E4|propagation_vulnerability|C2|logreg|seed1403,1403,propagation_vulnerability,C2,logreg,ok,1,0.002386634844868735,0.9651637636469705
E4|propagation_vulnerability|C3|lgbm|seed1403,1403,propagation_vulnerability,C3,lgbm,ok,1,8.452370890034655e-05,0.47958163180265023
E4|propagation_vulnerability|C3|logreg|seed1403,1403,propagation_vulnerability,C3,logreg,ok,1,0.0011198208286674132,0.9256604717059755
E4|rt_new_stress|A|lgbm|seed1403,1403,rt_new_stress,A,lgbm,ok,20,0.15846915862081357,0.840469532554257
E4|rt_new_stress|A|logreg|seed1403,1403,rt_new_stress,A,logreg,ok,20,0.5023142924464644,0.8067863105175292
