experiment_id,target,regime,model_spec,seed,pr_auc,roc_auc,n_trees,pos_test,n_unique_pred
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed606,rt_new_stress,balanced+lowmin,B+P5_process,606,0.20145652033084024,0.5752690863579475,6,15,73
imbalance|rt_new_stress|default|B|seed707,rt_new_stress,default,B,707,0.06896318784183786,0.498998998998999,27,12,113
imbalance|rt_new_stress|default|B+P5_process|seed707,rt_new_stress,default,B+P5_process,707,0.06082160531562469,0.8181619119119119,27,12,81
imbalance|rt_new_stress|balanced_weight|B|seed707,rt_new_stress,balanced_weight,B,707,0.010599663214669094,0.6568651985318652,4,12,46
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed707,rt_new_stress,balanced_weight,B+P5_process,707,0.001000109907933256,0.47674758091424757,4,12,15
imbalance|rt_new_stress|low_min_child|B|seed707,rt_new_stress,low_min_child,B,707,0.251362647044349,0.6747685185185186,20,12,165
imbalance|rt_new_stress|low_min_child|B+P5_process|seed707,rt_new_stress,low_min_child,B+P5_process,707,0.25122519576604596,0.630422088755422,11,12,128
imbalance|rt_new_stress|balanced+lowmin|B|seed707,rt_new_stress,balanced+lowmin,B,707,0.04484414971404971,0.6062173284395506,2,12,19
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed707,rt_new_stress,balanced+lowmin,B+P5_process,707,0.11741666666666667,0.6221951117784452,1,12,5
imbalance|rt_new_stress|default|B|seed808,rt_new_stress,default,B,808,0.06930313232762841,0.6642821368948246,8,20,77
imbalance|rt_new_stress|default|B+P5_process|seed808,rt_new_stress,default,B+P5_process,808,0.06930313232762841,0.6642821368948246,8,20,77
imbalance|rt_new_stress|balanced_weight|B|seed808,rt_new_stress,balanced_weight,B,808,0.003613593510557984,0.5984181969949918,18,20,37
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed808,rt_new_stress,balanced_weight,B+P5_process,808,0.003922513088719826,0.603313856427379,31,20,54
imbalance|rt_new_stress|low_min_child|B|seed808,rt_new_stress,low_min_child,B,808,0.17627946918934856,0.5742070116861435,28,20,202
imbalance|rt_new_stress|low_min_child|B+P5_process|seed808,rt_new_stress,low_min_child,B+P5_process,808,0.17610246439001132,0.6691527545909848,1,20,8
imbalance|rt_new_stress|balanced+lowmin|B|seed808,rt_new_stress,balanced+lowmin,B,808,0.0037831858407079647,0.6782345575959934,43,20,15
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed808,rt_new_stress,balanced+lowmin,B+P5_process,808,0.0020592736678782834,0.5960997495826377,21,20,16
imbalance|rt_new_stress|default|B|seed909,rt_new_stress,default,B,909,0.2540916732100891,0.5661528685981576,4,28,55
imbalance|rt_new_stress|default|B+P5_process|seed909,rt_new_stress,default,B+P5_process,909,0.2540916732100891,0.5661528685981576,4,28,55
imbalance|rt_new_stress|balanced_weight|B|seed909,rt_new_stress,balanced_weight,B,909,0.0021442523042989707,0.4327180086869362,3,28,41
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed909,rt_new_stress,balanced_weight,B+P5_process,909,0.0021442523042989707,0.4327180086869362,3,28,41
imbalance|rt_new_stress|low_min_child|B|seed909,rt_new_stress,low_min_child,B,909,0.31944641225423115,0.7110758436351486,32,28,163
imbalance|rt_new_stress|low_min_child|B+P5_process|seed909,rt_new_stress,low_min_child,B+P5_process,909,0.3182128962271152,0.6374606224046585,13,28,75
imbalance|rt_new_stress|balanced+lowmin|B|seed909,rt_new_stress,balanced+lowmin,B,909,0.002982877468513329,0.6030633979284998,40,28,121
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed909,rt_new_stress,balanced+lowmin,B+P5_process,909,0.0031147702197190687,0.5346791322609898,24,28,322
